"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"8241";8241;"2011-12-15";4;0;12;0;0;4;1;1;0,32;0,3182;0,7;0,1642;5;45;50
"7997";7997;"2011-12-04";4;0;12;20;0;0;0;1;0,36;0,3485;0,76;0,1343;8;116;124
"7251";7251;"2011-11-03";4;0;11;17;0;4;1;1;0,48;0,4697;0,55;0,0896;33;465;498
"1456";1456;"2011-03-05";1;0;3;22;0;6;0;2;0,42;0,4242;0,77;0,2985;16;47;63
"11958";11958;"2012-05-18";2;1;5;10;0;5;1;1;0,6;0,6212;0,46;0,1343;74;181;255
"1538";1538;"2011-03-09";1;0;3;10;0;3;1;2;0,3;0,2879;0,75;0,2537;8;49;57
"15021";15021;"2012-09-23";4;1;9;1;0;0;0;1;0,54;0,5152;0,52;0,3582;23;119;142
"14862";14862;"2012-09-16";3;1;9;10;0;0;0;1;0,62;0,6212;0,5;0,1045;160;330;490
"12430";12430;"2012-06-07";2;1;6;2;0;4;1;1;0,52;0,5;0,77;0,0896;0;12;12
"10739";10739;"2012-03-28";2;1;3;13;0;3;1;1;0,56;0,5303;0,43;0,3284;60;213;273
"1700";1700;"2011-03-16";1;0;3;11;0;3;1;2;0,36;0,3485;0,81;0,1343;13;62;75
"10544";10544;"2012-03-20";1;1;3;10;0;2;1;1;0,54;0,5152;0,88;0,194;44;119;163
"8635";8635;"2011-12-31";1;0;12;13;0;6;0;1;0,5;0,4848;0,42;0,4925;108;205;313
"11377";11377;"2012-04-24";2;1;4;5;0;2;1;1;0,3;0,2879;0,7;0,194;0;22;22
"3453";3453;"2011-05-28";2;0;5;18;0;6;0;1;0,72;0,6818;0,62;0,2537;173;212;385
"9284";9284;"2012-01-27";1;1;1;17;0;5;1;1;0,42;0,4242;0,5;0,5821;16;406;422
"6994";6994;"2011-10-24";4;0;10;0;0;1;1;1;0,42;0,4242;0,77;0;6;26;32
"2608";2608;"2011-04-23";2;0;4;13;0;6;0;1;0,52;0,5;0,83;0,3881;126;186;312
"3092";3092;"2011-05-13";2;0;5;17;0;5;1;3;0,52;0,5;0,88;0,1642;62;429;491
"2141";2141;"2011-04-04";2;0;4;1;0;1;1;1;0,4;0,4091;0,56;0,3582;7;4;11
"16701";16701;"2012-12-03";4;1;12;15;0;1;1;1;0,6;0,6212;0,56;0;58;210;268
"12789";12789;"2012-06-22";3;1;6;1;0;5;1;1;0,76;0,7424;0,75;0,1642;3;28;31
"17060";17060;"2012-12-18";4;1;12;14;0;2;1;1;0,46;0,4545;0,47;0,4478;56;191;247
"16342";16342;"2012-11-18";4;1;11;15;0;0;0;1;0,42;0,4242;0,54;0,2836;89;318;407
"314";314;"2011-01-14";1;0;1;13;0;5;1;1;0,22;0,197;0,37;0,3881;4;73;77
"7022";7022;"2011-10-25";4;0;10;4;0;2;1;1;0,38;0,3939;0,87;0,1343;0;5;5
"6264";6264;"2011-09-23";4;0;9;13;0;5;1;3;0,6;0,5;1;0,0896;7;27;34
"9806";9806;"2012-02-18";1;1;2;12;0;6;0;1;0,36;0,3485;0,43;0,194;128;241;369
"7705";7705;"2011-11-22";4;0;11;15;0;2;1;3;0,44;0,4394;0,94;0;2;32;34
"12005";12005;"2012-05-20";2;1;5;9;0;0;0;1;0,62;0,6212;0,32;0,2537;129;184;313
"11672";11672;"2012-05-06";2;1;5;12;0;0;0;2;0,6;0,6061;0,64;0,0896;207;351;558
"16702";16702;"2012-12-03";4;1;12;16;0;1;1;1;0,6;0,6212;0,53;0,1343;45;397;442
"4721";4721;"2011-07-20";3;0;7;14;0;3;1;1;0,86;0,8333;0,53;0,2239;44;83;127
"15030";15030;"2012-09-23";4;1;9;10;0;0;0;1;0,54;0,5152;0,45;0,2537;138;351;489
"5249";5249;"2011-08-11";3;0;8;14;0;4;1;1;0,8;0,697;0,29;0;39;103;142
"9121";9121;"2012-01-20";1;1;1;22;0;5;1;2;0,2;0,197;0,37;0,2239;1;71;72
"558";558;"2011-01-25";1;0;1;10;0;2;1;2;0,22;0,2424;0,6;0,1045;6;49;55
"14807";14807;"2012-09-14";3;1;9;3;0;5;1;1;0,54;0,5152;0,77;0;5;9;14
"12039";12039;"2012-05-21";2;1;5;19;0;1;1;1;0,66;0,6212;0,69;0,0896;57;391;448
"13462";13462;"2012-07-20";3;1;7;2;0;5;1;2;0,66;0,5909;0,89;0,0896;5;14;19
"13728";13728;"2012-07-31";3;1;7;4;0;2;1;1;0,66;0,6061;0,83;0,0896;0;6;6
"16504";16504;"2012-11-25";4;1;11;9;0;0;0;2;0,24;0,2273;0,48;0,2239;13;83;96
"481";481;"2011-01-22";1;0;1;1;0;6;0;2;0,04;0;0,41;0,3881;3;9;12
"15425";15425;"2012-10-09";4;1;10;21;0;2;1;2;0,48;0,4697;0,77;0,1343;16;209;225
"5088";5088;"2011-08-04";3;0;8;21;0;4;1;2;0,7;0,6667;0,74;0,194;25;186;211
"14683";14683;"2012-09-08";3;1;9;23;0;6;0;2;0,58;0,5455;0,73;0,1642;12;121;133
"927";927;"2011-02-11";1;0;2;5;0;5;1;1;0,08;0,1212;0,63;0,0896;0;4;4
"7581";7581;"2011-11-17";4;0;11;11;0;4;1;3;0,32;0,303;0,66;0,3284;4;93;97
"6082";6082;"2011-09-15";3;0;9;23;0;4;1;1;0,44;0,4394;0,67;0,2239;8;61;69
"4966";4966;"2011-07-30";3;0;7;19;0;6;0;1;0,74;0,6515;0,33;0,2239;101;155;256
"15567";15567;"2012-10-15";4;1;10;19;0;1;1;3;0,52;0,5;0,83;0,0896;12;227;239
"16792";16792;"2012-12-07";4;1;12;10;0;5;1;2;0,32;0,3182;0,76;0,1642;16;150;166
"13865";13865;"2012-08-05";3;1;8;21;0;0;0;1;0,72;0,697;0,79;0,1045;51;157;208
"9024";9024;"2012-01-16";1;1;1;20;1;1;0;1;0,26;0,2424;0,6;0,2836;2;88;90
"14206";14206;"2012-08-20";3;1;8;2;0;1;1;1;0,6;0,5606;0,83;0,1642;0;5;5
"5008";5008;"2011-08-01";3;0;8;13;0;1;1;1;0,9;0,803;0,31;0,2985;38;112;150
"6234";6234;"2011-09-22";3;0;9;7;0;4;1;2;0,6;0,5;1;0,1045;16;295;311
"3546";3546;"2011-06-01";2;0;6;15;0;3;1;1;0,9;0,8333;0,39;0,2985;25;127;152
"13100";13100;"2012-07-05";3;1;7;0;0;4;1;1;0,74;0,6667;0,51;0,1045;17;71;88
"11390";11390;"2012-04-24";2;1;4;18;0;2;1;1;0,5;0,4848;0,18;0;52;580;632
"9474";9474;"2012-02-04";1;1;2;15;0;6;0;2;0,32;0,303;0,66;0,2239;61;244;305
"5406";5406;"2011-08-18";3;0;8;3;0;4;1;1;0,66;0,6212;0,69;0,2836;0;6;6
"2832";2832;"2011-05-02";2;0;5;21;0;1;1;2;0,6;0,5909;0,73;0,1045;54;178;232
"4950";4950;"2011-07-30";3;0;7;3;0;6;0;1;0,74;0,6818;0,62;0,1642;18;25;43
"3519";3519;"2011-05-31";2;0;5;12;0;2;1;1;0,86;0,803;0,47;0,1343;37;125;162
"912";912;"2011-02-10";1;0;2;12;0;4;1;1;0,16;0,1364;0,34;0,3881;4;65;69
"1993";1993;"2011-03-28";2;0;3;21;0;1;1;1;0,32;0,3333;0,21;0,1343;6;55;61
"6208";6208;"2011-09-21";3;0;9;5;0;3;1;2;0,54;0,5152;1;0,1642;1;30;31
"4120";4120;"2011-06-25";3;0;6;13;0;6;0;1;0,74;0,6515;0,4;0,2836;140;231;371
"15258";15258;"2012-10-02";4;1;10;22;0;2;1;2;0,62;0,5455;0,94;0,1045;28;212;240
"15742";15742;"2012-10-23";4;1;10;2;0;2;1;1;0,44;0,4394;0,88;0,1343;1;6;7
"11703";11703;"2012-05-07";2;1;5;19;0;1;1;1;0,58;0,5455;0,56;0,3284;83;463;546
"6338";6338;"2011-09-26";4;0;9;15;0;1;1;1;0,72;0,6818;0,62;0,1343;52;157;209
"14605";14605;"2012-09-05";3;1;9;17;0;3;1;1;0,76;0,7273;0,66;0,2537;83;780;863
"15653";15653;"2012-10-19";4;1;10;9;0;5;1;2;0,54;0,5152;0,94;0,1045;26;363;389
"1177";1177;"2011-02-21";1;0;2;19;1;1;0;2;0,24;0,2121;0,87;0,3582;0;49;49
"4569";4569;"2011-07-14";3;0;7;6;0;4;1;1;0,6;0,6061;0,6;0,2239;14;116;130
"16868";16868;"2012-12-10";4;1;12;14;0;1;1;2;0,5;0,4848;0,94;0,2239;31;179;210
"2843";2843;"2011-05-03";2;0;5;8;0;2;1;2;0,56;0,5303;0,83;0,2836;24;435;459
"3476";3476;"2011-05-29";2;0;5;17;0;0;0;1;0,74;0,697;0,7;0,2836;214;169;383
"13332";13332;"2012-07-14";3;1;7;16;0;6;0;2;0,72;0,697;0,79;0,3582;226;340;566
"7952";7952;"2011-12-02";4;0;12;23;0;5;1;1;0,32;0,303;0,53;0,2836;14;81;95
"14534";14534;"2012-09-02";3;1;9;18;0;0;0;1;0,74;0,7121;0,74;0;227;273;500
"15016";15016;"2012-09-22";3;1;9;20;0;6;0;1;0,7;0,6515;0,54;0,2537;76;249;325
"573";573;"2011-01-26";1;0;1;1;0;3;1;2;0,24;0,2424;0,65;0,1343;0;5;5
"2492";2492;"2011-04-18";2;0;4;17;0;1;1;1;0,58;0,5455;0,49;0,2836;66;362;428
"7929";7929;"2011-12-02";4;0;12;0;0;5;1;1;0,26;0,2879;0,7;0,0896;6;32;38
"7170";7170;"2011-10-31";4;0;10;8;0;1;1;2;0,28;0,3182;0,87;0;17;355;372
"15073";15073;"2012-09-25";4;1;9;5;0;2;1;1;0,42;0,4242;0,77;0,0896;1;46;47
"7076";7076;"2011-10-27";4;0;10;10;0;4;1;3;0,5;0,4848;0,88;0,194;10;52;62
"16703";16703;"2012-12-03";4;1;12;17;0;1;1;1;0,52;0,5;0,63;0,1045;43;665;708
"5490";5490;"2011-08-21";3;0;8;15;0;0;0;1;0,7;0,6667;0,84;0,2836;17;51;68
"11851";11851;"2012-05-13";2;1;5;23;0;0;0;2;0,62;0,6212;0,57;0,2239;17;57;74
"10062";10062;"2012-02-29";1;1;2;7;0;3;1;2;0,26;0,2727;0,81;0,1343;11;242;253
"2134";2134;"2011-04-03";2;0;4;18;0;0;0;2;0,46;0,4545;0,31;0;71;101;172
"8138";8138;"2011-12-10";4;0;12;17;0;6;0;1;0,28;0,2576;0,36;0,3284;34;151;185
"14237";14237;"2012-08-21";3;1;8;9;0;2;1;1;0,64;0,6061;0,69;0;47;281;328
"9064";9064;"2012-01-18";1;1;1;13;0;3;1;1;0,3;0,2727;0,42;0,4627;6;124;130
"7800";7800;"2011-11-26";4;0;11;14;0;6;0;2;0,48;0,4697;0,48;0,1343;141;158;299
"2173";2173;"2011-04-05";2;0;4;9;0;2;1;3;0,36;0,3182;0,87;0,4925;2;44;46
"16087";16087;"2012-11-07";4;1;11;23;0;3;1;3;0,28;0,2727;0,65;0,2239;3;37;40
"727";727;"2011-02-02";1;0;2;15;0;3;1;1;0,38;0,3939;0,76;0,3284;10;66;76
"11076";11076;"2012-04-11";2;1;4;16;0;3;1;1;0,44;0,4394;0,33;0,2985;51;256;307
"5426";5426;"2011-08-18";3;0;8;23;0;4;1;2;0,7;0,6667;0,74;0,1343;20;94;114
"13472";13472;"2012-07-20";3;1;7;12;0;5;1;3;0,68;0,6364;0,83;0,1642;41;233;274
"9607";9607;"2012-02-10";1;1;2;5;0;5;1;1;0,24;0,2273;0,52;0,2239;0;17;17
"1888";1888;"2011-03-24";2;0;3;10;0;4;1;2;0,26;0,2273;0,93;0,3284;10;55;65
"15579";15579;"2012-10-16";4;1;10;7;0;2;1;1;0,42;0,4242;0,67;0,0896;20;505;525
"12524";12524;"2012-06-11";2;1;6;0;0;1;1;1;0,7;0,6515;0,65;0,1045;8;33;41
"1570";1570;"2011-03-10";1;0;3;20;0;4;1;3;0,36;0,3333;0;0,3284;9;29;38
"17379";17379;"2012-12-31";1;1;12;23;0;1;1;1;0,26;0,2727;0,65;0,1343;12;37;49
"2324";2324;"2011-04-11";2;0;4;17;0;1;1;1;0,74;0,6667;0,48;0,5224;100;352;452
"15523";15523;"2012-10-13";4;1;10;23;0;6;0;1;0,42;0,4242;0,58;0,2985;27;98;125
"2422";2422;"2011-04-15";2;0;4;19;1;5;0;1;0,42;0,4242;0,77;0,3881;41;168;209
"11113";11113;"2012-04-13";2;1;4;5;0;5;1;2;0,34;0,3333;0,53;0,1642;2;19;21
"5010";5010;"2011-08-01";3;0;8;15;0;1;1;1;0,9;0,7879;0,27;0;52;77;129
"151";151;"2011-01-07";1;0;1;13;0;5;1;2;0,2;0,1818;0,37;0,2836;9;64;73
"12355";12355;"2012-06-03";2;1;6;23;0;0;0;1;0,58;0,5455;0,53;0,1045;26;82;108
"6352";6352;"2011-09-27";4;0;9;5;0;2;1;3;0,62;0,5455;0,94;0,0896;0;24;24
"13733";13733;"2012-07-31";3;1;7;9;0;2;1;1;0,72;0,6818;0,7;0,1045;31;302;333
"10578";10578;"2012-03-21";2;1;3;20;0;3;1;1;0,56;0,5303;0,78;0,0896;76;298;374
"3308";3308;"2011-05-22";2;0;5;17;0;0;0;1;0,7;0,6515;0,58;0,2537;93;213;306
"859";859;"2011-02-08";1;0;2;5;0;2;1;1;0,26;0,2273;0,81;0,3284;0;2;2
"5965";5965;"2011-09-11";3;0;9;1;0;0;0;2;0,62;0,5606;0,88;0;22;66;88
"5302";5302;"2011-08-13";3;0;8;19;0;6;0;2;0,68;0,6364;0,79;0,2836;67;170;237
"10014";10014;"2012-02-27";1;1;2;6;0;1;1;1;0,24;0,2273;0,7;0,2537;1;89;90
"11395";11395;"2012-04-24";2;1;4;23;0;2;1;1;0,42;0,4242;0,38;0,0896;4;69;73
"6276";6276;"2011-09-24";4;0;9;1;0;6;0;2;0,58;0,5455;0,94;0,0896;18;61;79
"11335";11335;"2012-04-22";2;1;4;11;0;0;0;3;0,38;0,3939;0,87;0,2985;7;70;77
"10206";10206;"2012-03-06";1;1;3;7;0;2;1;1;0,16;0,1818;0,55;0,1343;5;270;275
"10504";10504;"2012-03-18";1;1;3;18;0;0;0;1;0,56;0,5303;0,64;0,1642;165;294;459
"4562";4562;"2011-07-13";3;0;7;23;0;3;1;1;0,66;0,6061;0,83;0,2537;33;83;116
"15109";15109;"2012-09-26";4;1;9;17;0;3;1;1;0,74;0,6667;0,48;0,2985;77;876;953
"16413";16413;"2012-11-21";4;1;11;14;0;3;1;1;0,46;0,4545;0,33;0,194;84;329;413
"1329";1329;"2011-02-28";1;0;2;15;0;1;1;3;0,42;0,4242;1;0,2985;0;35;35
"12692";12692;"2012-06-18";2;1;6;0;0;1;1;1;0,56;0,5303;0,73;0,2537;12;28;40
"8200";8200;"2011-12-13";4;0;12;7;0;2;1;1;0,16;0,1667;0,8;0,1642;2;221;223
"6874";6874;"2011-10-18";4;0;10;23;0;2;1;2;0,52;0,5;0,77;0,194;7;63;70
"5751";5751;"2011-09-02";3;0;9;1;0;5;1;3;0,62;0,5909;0,73;0,1045;4;28;32
"2751";2751;"2011-04-29";2;0;4;12;0;5;1;1;0,56;0,5303;0,37;0,2836;63;160;223
"11529";11529;"2012-04-30";2;1;4;13;0;1;1;2;0,48;0,4697;0,51;0,0896;48;199;247
"5086";5086;"2011-08-04";3;0;8;19;0;4;1;1;0,7;0,6667;0,74;0,2836;65;301;366
"9003";9003;"2012-01-15";1;1;1;23;0;0;0;1;0,16;0,197;0,43;0,0896;3;26;29
"1069";1069;"2011-02-17";1;0;2;6;0;4;1;1;0,3;0,303;0,7;0,1343;3;44;47
"11378";11378;"2012-04-24";2;1;4;6;0;2;1;1;0,3;0,2879;0,7;0,2239;3;117;120
"12973";12973;"2012-06-29";3;1;6;17;0;5;1;1;0,98;0,9242;0,34;0,194;82;457;539
"6876";6876;"2011-10-19";4;0;10;1;0;3;1;2;0,52;0,5;0,77;0,194;7;9;16
"16470";16470;"2012-11-23";4;1;11;23;0;5;1;1;0,42;0,4242;0,38;0,4478;20;47;67
"8233";8233;"2011-12-14";4;0;12;16;0;3;1;2;0,38;0,3939;0,54;0,1045;12;233;245
"9635";9635;"2012-02-11";1;1;2;9;0;6;0;3;0,22;0,2424;0,93;0,1045;5;85;90
"16893";16893;"2012-12-11";4;1;12;15;0;2;1;2;0,38;0,3939;0,5;0,2239;20;250;270
"14879";14879;"2012-09-17";3;1;9;3;0;1;1;1;0,5;0,4848;0,77;0,0896;0;7;7
"1236";1236;"2011-02-24";1;0;2;14;0;4;1;2;0,4;0,4091;0,5;0,2985;2;67;69
"16098";16098;"2012-11-08";4;1;11;11;0;4;1;1;0,36;0,3333;0,29;0,3881;16;155;171
"14119";14119;"2012-08-16";3;1;8;11;0;4;1;1;0,76;0,6667;0,37;0,0896;83;191;274
"3429";3429;"2011-05-27";2;0;5;18;0;5;1;2;0,72;0,6818;0,62;0,2985;89;310;399
"14424";14424;"2012-08-29";3;1;8;4;0;3;1;1;0,6;0,5909;0,73;0,2239;2;8;10
"14201";14201;"2012-08-19";3;1;8;21;0;0;0;3;0,62;0,5909;0,78;0,0896;36;154;190
"15981";15981;"2012-11-03";4;1;11;13;0;6;0;2;0,36;0,3333;0,46;0,3582;110;339;449
"8583";8583;"2011-12-29";1;0;12;9;0;4;1;2;0,2;0,2121;0,64;0,1343;15;155;170
"13691";13691;"2012-07-29";3;1;7;15;0;0;0;1;0,8;0,7273;0,43;0,1343;195;306;501
"4184";4184;"2011-06-28";3;0;6;5;0;2;1;1;0,66;0,6061;0,78;0;1;20;21
"2411";2411;"2011-04-15";2;0;4;8;1;5;0;1;0,44;0,4394;0,62;0,2985;21;279;300
"10537";10537;"2012-03-20";1;1;3;3;0;2;1;2;0,54;0,5152;0,88;0;0;3;3
"7960";7960;"2011-12-03";4;0;12;7;0;6;0;1;0,22;0,2576;0,75;0,0896;2;24;26
"8615";8615;"2011-12-30";1;0;12;17;0;5;1;1;0,38;0,3939;0,54;0,1642;54;188;242
"8929";8929;"2012-01-12";1;1;1;21;0;4;1;1;0,44;0,4394;0,67;0,1343;12;162;174
"14925";14925;"2012-09-19";3;1;9;1;0;3;1;2;0,54;0,5152;0,68;0,2537;0;12;12
"1974";1974;"2011-03-28";2;0;3;1;0;1;1;1;0,22;0,2273;0,44;0,194;2;4;6
"8718";8718;"2012-01-04";1;1;1;1;0;3;1;1;0,04;0,0303;0,38;0,2985;0;3;3
"11722";11722;"2012-05-08";2;1;5;14;0;2;1;3;0,62;0,6061;0,69;0,3284;8;63;71
"9873";9873;"2012-02-21";1;1;2;9;0;2;1;1;0,2;0,2273;0,75;0,1045;6;211;217
"7274";7274;"2011-11-04";4;0;11;16;0;5;1;1;0,46;0,4545;0,36;0,3881;53;237;290
"12081";12081;"2012-05-23";2;1;5;13;0;3;1;2;0,66;0,6212;0,74;0,1642;69;201;270
"7828";7828;"2011-11-27";4;0;11;18;0;0;0;1;0,5;0,4848;0,63;0,1642;25;130;155
"11531";11531;"2012-04-30";2;1;4;15;0;1;1;2;0,52;0,5;0,55;0,1045;55;176;231
"1186";1186;"2011-02-22";1;0;2;10;0;2;1;1;0,16;0,1818;0,69;0;0;44;44
"10016";10016;"2012-02-27";1;1;2;8;0;1;1;1;0,24;0,2424;0,6;0;14;514;528
"10657";10657;"2012-03-25";2;1;3;3;0;0;0;3;0,42;0,4242;0,94;0,2985;8;10;18
